club,shooting,dribbling_control,passing_vision,tackling_interception,aerial_defense,speed_agility,strength_stamina,decision_making,work_ethic_effort,leadership,teamwork,goalkeeping_abilities,behavioral_attributes,player_traits,club_rating
Vålerenga,12.125,10.5,8.666666666666666,7.75,9.5,11.333333333333334,12.333333333333334,12.75,12.833333333333334,4.5,10.5,2.357142857142857,5.5,2.0,1156.0
Motherwell,9.875,8.875,8.583333333333334,7.25,9.666666666666666,10.333333333333334,11.666666666666666,8.5,11.833333333333334,6.5,11.0,2.357142857142857,6.25,1.5,1340.0
Khimki,11.625,12.5,8.333333333333334,7.5,7.0,13.666666666666666,11.833333333333334,10.5,10.666666666666666,5.5,8.5,1.8571428571428572,6.25,2.5,1336.0
Sunderland,9.125,8.625,9.083333333333334,8.625,8.333333333333334,11.333333333333334,12.166666666666666,9.75,11.833333333333334,4.5,12.0,2.2857142857142856,6.5,2.0,1156.0
HNK Gorica,10.125,11.5,9.5,7.875,7.666666666666667,11.833333333333334,12.166666666666666,11.0,12.166666666666666,4.75,11.5,1.7857142857142858,7.25,2.5,1397.0
Olimpik D,7.125,10.75,5.5,5.625,10.166666666666666,10.333333333333334,8.166666666666666,7.0,9.166666666666666,4.25,6.5,2.4285714285714284,5.5,2.0,1304.0
Asteras Tripolis,12.625,11.0,10.416666666666666,9.75,10.0,11.333333333333334,12.5,12.5,13.666666666666666,5.75,12.0,2.142857142857143,9.25,4.0,1156.0
Radnički,10.0,11.375,9.5,9.0,8.666666666666666,11.0,9.666666666666666,12.0,10.666666666666666,6.25,10.0,2.0714285714285716,5.0,2.0,1156.0
Altay,11.5,11.875,8.083333333333334,8.125,9.666666666666666,10.833333333333334,11.5,12.5,11.666666666666666,4.0,10.5,2.357142857142857,6.0,2.0,1317.0
Diósgyőr,9.625,12.375,10.166666666666666,9.125,7.5,12.166666666666666,10.333333333333334,12.0,10.666666666666666,5.25,11.5,2.4285714285714284,7.0,2.5,1299.0
Ural,12.0,12.375,10.25,10.125,7.166666666666667,11.833333333333334,12.0,12.0,12.5,5.75,12.0,2.642857142857143,5.25,3.0,1425.0
Red Star,12.625,13.5,11.5,7.375,8.5,13.333333333333334,12.333333333333334,12.0,12.0,5.0,13.5,1.6428571428571428,5.75,1.0,1767.0
Wigan,10.0,12.5,8.166666666666666,7.5,8.166666666666666,11.666666666666666,11.166666666666666,11.75,12.5,5.25,11.5,2.5,5.0,2.0,1515.0
Mlada Boleslav,11.5,11.25,8.916666666666666,8.375,9.5,12.333333333333334,14.166666666666666,10.25,11.833333333333334,5.5,10.0,2.0714285714285716,6.25,1.5,1441.0
Dundee Utd,11.125,11.5,9.833333333333334,8.125,8.166666666666666,13.0,11.833333333333334,12.75,13.0,6.0,10.5,2.2142857142857144,6.25,1.5,1156.0
Molde,11.125,10.75,7.416666666666667,6.875,9.5,10.833333333333334,12.666666666666666,11.25,12.833333333333334,5.75,11.0,2.4285714285714284,6.25,1.5,1156.0
Bodø/Glimt,9.125,13.75,8.916666666666666,7.125,9.333333333333334,11.666666666666666,13.333333333333334,10.0,13.166666666666666,5.75,10.5,2.5714285714285716,5.75,2.0,1156.0
Fehérvár FC,11.0,10.0,9.666666666666666,9.0,9.0,10.666666666666666,10.0,10.5,12.666666666666666,6.75,13.5,2.2857142857142856,5.25,2.0,1490.0
Lechia,8.5,11.125,8.583333333333334,7.75,7.0,12.333333333333334,12.666666666666666,11.75,11.333333333333334,6.25,12.0,2.4285714285714284,6.25,2.5,1156.0
Bursaspor,9.75,13.0,9.25,6.25,5.166666666666667,13.0,9.666666666666666,10.25,8.5,5.5,9.0,1.8571428571428572,3.75,2.5,1376.0
Hearts,12.625,12.125,8.5,7.0,9.833333333333334,11.0,13.5,11.25,11.666666666666666,4.75,9.0,2.5714285714285716,9.5,3.0,1407.0
Lviv,7.375,11.75,4.916666666666667,6.875,7.0,12.333333333333334,6.166666666666667,10.25,8.0,5.0,6.0,2.0714285714285716,5.5,1.5,1300.0
Dnipro-1,9.875,10.25,8.583333333333334,7.5,10.166666666666666,13.5,12.666666666666666,10.25,13.166666666666666,5.25,13.0,2.0,6.75,1.5,1536.0
Olexandriya,10.375,11.875,10.666666666666666,9.625,8.5,12.666666666666666,12.333333333333334,9.5,13.5,6.75,12.5,2.357142857142857,6.25,1.0,1436.0
Rotor,8.875,12.0,7.666666666666667,7.625,9.5,13.0,10.833333333333334,12.0,12.833333333333334,3.75,11.5,1.5714285714285714,7.75,3.0,1320.0
Aris,9.25,12.75,8.333333333333334,7.5,7.666666666666667,10.666666666666666,8.833333333333334,9.25,8.166666666666666,5.0,11.0,2.0714285714285716,4.25,1.5,1526.0
Portsmouth,9.75,10.75,7.166666666666667,7.25,9.0,10.833333333333334,9.833333333333334,9.25,12.666666666666666,6.5,11.5,1.7857142857142858,7.75,2.5,1156.0
Peterborough,12.125,11.75,8.25,7.5,9.166666666666666,11.666666666666666,12.833333333333334,12.0,9.833333333333334,4.25,9.5,2.357142857142857,6.75,2.5,1156.0
Malmö FF,12.125,12.875,11.583333333333334,9.125,9.666666666666666,11.333333333333334,11.666666666666666,12.75,11.833333333333334,6.25,11.5,1.6428571428571428,8.25,1.5,1552.0
Kolos Kovalivka,10.25,12.625,7.083333333333333,5.0,8.0,13.666666666666666,10.5,11.25,7.833333333333333,4.5,6.5,2.0,5.75,2.0,1408.0
Desna,10.5,11.0,8.833333333333334,9.5,10.333333333333334,11.166666666666666,13.5,11.75,14.166666666666666,4.5,13.5,1.5,7.5,2.0,1449.0
Botev Plovdiv,9.875,11.375,9.333333333333334,8.625,9.0,11.5,11.833333333333334,10.75,10.5,7.0,10.0,1.6428571428571428,6.0,1.0,1434.0
Odd,11.25,11.25,8.916666666666666,7.375,8.5,10.833333333333334,10.666666666666666,10.75,10.5,5.25,11.0,2.357142857142857,5.75,1.5,1156.0
SønderjyskE,9.625,11.125,9.833333333333334,6.75,7.0,12.0,10.666666666666666,12.0,10.166666666666666,3.75,11.5,2.5,7.75,1.5,1272.0
Viking,7.625,7.625,6.833333333333333,5.75,7.333333333333333,11.666666666666666,10.333333333333334,8.75,9.166666666666666,3.75,7.0,1.7142857142857142,4.75,2.5,1156.0
Rochdale,11.375,11.25,8.5,8.5,8.333333333333334,12.0,12.666666666666666,10.5,12.166666666666666,5.25,9.5,2.0,7.25,2.0,1156.0
FC Nordsjælland,10.375,12.25,9.416666666666666,6.0,7.166666666666667,12.0,9.333333333333334,9.25,8.666666666666666,3.0,11.5,2.642857142857143,6.0,2.0,1364.0
Shrewsbury,9.25,9.875,7.666666666666667,7.375,8.166666666666666,11.833333333333334,13.0,10.5,12.666666666666666,3.75,10.5,2.0714285714285716,9.0,1.5,1156.0
Rosenborg,11.625,10.5,9.75,8.125,10.166666666666666,10.5,12.5,11.5,11.666666666666666,5.0,10.5,2.357142857142857,5.75,1.5,1156.0
Hibernian,10.625,10.625,7.416666666666667,7.875,10.0,11.333333333333334,12.666666666666666,12.5,15.333333333333334,4.75,13.0,2.0,4.5,1.5,1375.0
Kristiansund,5.0,10.5,8.166666666666666,6.25,3.6666666666666665,11.333333333333334,6.333333333333333,11.0,5.333333333333333,6.0,7.0,1.8571428571428572,7.0,3.0,1156.0
Legia,11.25,10.875,8.25,9.625,10.833333333333334,11.333333333333334,13.666666666666666,12.5,12.833333333333334,6.5,12.5,2.2142857142857144,5.75,3.0,1156.0
