name_x,club_x,profile_image,year,market_value,name_y,club_y,nat,position,dob,age,height,weight,wage,last trans. fee,value,agg,jum,pun,vis,l th,lon,otb,tck,tec,tea,cmp,fre,ref,pos,pen,pas,fla,ant,cro,mar,ldr,cor,cnt,det,dec,hea,fir,com,acc,pac,aer,str,thr,han,ecc,dri,bal,kic,sta,agi,wor,bra,cmd,fin,1v1,tro,centerback,fullback,goalkeeper,midfielder,striker,winger,division_rating,nat_rating,club_rating,either_left,either_right,left,right,RUS_names
,,,,,Dmitry Zhivoglyadov,Lokomotiv Moscow,RUS, D/WB (R)                            , 29/5/1994 (26 years old)  ,26.0,181.0,77.0,83500.0,2500000.0,2200000.0,7.0,10.0,1.0,8.0,13.0,10.0,13.0,13.0,11.0,15.0,13.0,10.0,3.0,13.0,10.0,10.0,4.0,13.0,11.0,13.0,13.0,10.0,14.0,13.0,13.0,11.0,11.0,2.0,13.0,14.0,1.0,12.0,2.0,1.0,2.0,8.0,12.0,2.0,14.0,12.0,14.0,12.0,2.0,8.0,1.0,2.0,0,1,0,0,0,0,79.8,1497.63,1544.0,0,0,0,1,Dmitriy Zhivoglyadov
,,,,,Maxim Osipenko,Rostov,RUS, D (C)                               , 16/5/1994 (26 years old)  ,26.0,190.0,80.0,75000.0,250000.0,2100000.0,11.0,15.0,1.0,9.0,8.0,10.0,7.0,14.0,10.0,12.0,10.0,3.0,2.0,14.0,5.0,14.0,8.0,14.0,7.0,14.0,13.0,6.0,13.0,14.0,13.0,14.0,9.0,2.0,13.0,13.0,1.0,13.0,2.0,2.0,1.0,10.0,13.0,3.0,13.0,12.0,13.0,13.0,2.0,8.0,3.0,3.0,1,0,0,0,0,0,79.8,1497.63,1440.0,0,0,0,1,Maksim Osipenko
Igor Smolnikov,,https://img.a.transfermarkt.technology/portrait/small/46635-1675874948.png?lm=1,35,-,Igor Smolnikov,Krasnodar,RUS, D/WB (R)                            , 8/8/1988 (31 years old)   ,31.0,178.0,70.0,108000.0,0.0,2000000.0,13.0,9.0,1.0,11.0,12.0,11.0,13.0,12.0,12.0,12.0,11.0,7.0,3.0,11.0,8.0,12.0,9.0,13.0,11.0,13.0,7.0,10.0,15.0,14.0,11.0,10.0,11.0,2.0,15.0,16.0,3.0,8.0,2.0,3.0,3.0,11.0,12.0,1.0,15.0,14.0,15.0,14.0,1.0,9.0,2.0,1.0,0,1,0,0,0,0,79.8,1497.63,1406.0,0,0,0,1,Igor Smolnikov
,,,,,Alexandr Maximenko,Spartak Moscow,RUS, GK                                  , 19/3/1998 (22 years old)  ,22.0,187.0,80.0,83000.0,0.0,2000000.0,12.0,14.0,9.0,10.0,2.0,2.0,1.0,2.0,9.0,16.0,16.0,8.0,16.0,12.0,2.0,11.0,2.0,13.0,1.0,2.0,13.0,4.0,13.0,16.0,11.0,1.0,11.0,11.0,11.0,8.0,12.0,11.0,11.0,12.0,6.0,3.0,11.0,11.0,12.0,12.0,11.0,14.0,11.0,1.0,16.0,11.0,0,0,1,0,0,0,79.8,1497.63,1530.0,0,0,1,0,Aleksandr Maximenko
,,,,,Dmitry Stotskiy,Krasnodar,RUS," D/WB (RL), M (RLC)                  ", 1/12/1989 (30 years old)  ,30.0,171.0,63.0,83500.0,1500000.0,2000000.0,10.0,7.0,1.0,12.0,7.0,11.0,11.0,12.0,11.0,12.0,11.0,12.0,1.0,10.0,6.0,12.0,13.0,13.0,11.0,10.0,9.0,13.0,11.0,14.0,10.0,11.0,12.0,3.0,14.0,12.0,3.0,6.0,2.0,2.0,2.0,8.0,13.0,3.0,12.0,13.0,17.0,13.0,1.0,10.0,3.0,3.0,0,1,0,0,0,0,79.8,1497.63,1406.0,0,0,0,1,Dmitriy Stotskiy
,,,,,Georgy Melkadze,Akhmat,RUS," AM (LC), ST (C)                     ", 4/4/1997 (23 years old)   ,23.0,182.0,84.0,33000.0,0.0,1900000.0,14.0,11.0,3.0,9.0,6.0,11.0,13.0,10.0,13.0,15.0,12.0,12.0,2.0,8.0,11.0,11.0,14.0,11.0,10.0,6.0,9.0,10.0,11.0,15.0,9.0,8.0,13.0,2.0,13.0,12.0,1.0,13.0,1.0,2.0,3.0,12.0,13.0,1.0,14.0,13.0,13.0,12.0,3.0,11.0,1.0,3.0,0,0,0,0,1,0,79.8,1497.63,1463.0,0,0,0,1,Georgiy Melkadze
,,,,,Ilja Kutepov,Spartak Moscow,RUS, D (C)                               , 29/7/1993 (26 years old)  ,26.0,192.0,85.0,83000.0,0.0,1800000.0,12.0,15.0,2.0,6.0,11.0,10.0,8.0,14.0,11.0,14.0,14.0,6.0,2.0,13.0,10.0,11.0,5.0,13.0,5.0,13.0,10.0,5.0,13.0,15.0,12.0,14.0,11.0,2.0,12.0,12.0,2.0,14.0,1.0,2.0,2.0,8.0,10.0,2.0,12.0,10.0,14.0,14.0,3.0,8.0,2.0,1.0,1,0,0,0,0,0,79.8,1497.63,1530.0,0,0,0,1,Ilya Kutepov
,,,,,Dmitry Poloz,Rostov,RUS," AM (L), ST (C)                      ", 12/7/1991 (29 years old)  ,29.0,183.0,74.0,67000.0,0.0,1800000.0,8.0,10.0,1.0,13.0,9.0,9.0,13.0,5.0,12.0,12.0,13.0,8.0,2.0,10.0,14.0,12.0,13.0,13.0,10.0,6.0,4.0,11.0,13.0,15.0,12.0,8.0,12.0,1.0,13.0,14.0,3.0,10.0,2.0,1.0,3.0,10.0,13.0,3.0,13.0,12.0,11.0,11.0,1.0,13.0,3.0,3.0,0,0,0,0,0,1,79.8,1497.63,1440.0,0,0,0,1,Dmitriy Poloz
,,,,,Alexandr Lomovitskiy,Arsenal Tula,RUS, M/AM (RL)                           , 27/1/1998 (22 years old)  ,22.0,181.0,73.0,63500.0,0.0,1800000.0,10.0,9.0,3.0,11.0,6.0,11.0,13.0,11.0,12.0,12.0,12.0,10.0,1.0,10.0,12.0,11.0,8.0,12.0,9.0,5.0,9.0,11.0,11.0,11.0,12.0,9.0,13.0,1.0,14.0,13.0,1.0,8.0,3.0,3.0,1.0,13.0,13.0,3.0,14.0,13.0,13.0,11.0,3.0,9.0,1.0,1.0,0,0,0,0,0,1,79.8,1497.63,1374.0,0,0,1,0,Aleksandr Lomovitskiy
,,,,,Alexandr Tashaev,Spartak Moscow,RUS," M (L), AM (RL)                      ", 23/6/1994 (26 years old)  ,26.0,180.0,76.0,86500.0,1500000.0,1800000.0,8.0,10.0,1.0,11.0,8.0,10.0,12.0,9.0,12.0,14.0,12.0,12.0,2.0,10.0,10.0,12.0,6.0,11.0,11.0,8.0,7.0,14.0,12.0,16.0,10.0,8.0,11.0,2.0,13.0,13.0,3.0,10.0,2.0,3.0,3.0,12.0,12.0,2.0,13.0,12.0,14.0,12.0,3.0,9.0,1.0,1.0,0,0,0,0,0,1,79.8,1497.63,1530.0,0,0,0,1,Aleksandr Tashaev
,,,,,Magomed-Shapi Suleimanov,Krasnodar,RUS, M/AM (R)                            , 16/12/1999 (20 years old) ,20.0,171.0,66.0,17250.0,0.0,1800000.0,12.0,6.0,2.0,13.0,8.0,12.0,12.0,10.0,12.0,10.0,10.0,13.0,3.0,7.0,8.0,14.0,6.0,10.0,12.0,7.0,9.0,13.0,10.0,15.0,11.0,8.0,12.0,3.0,16.0,12.0,2.0,6.0,1.0,2.0,1.0,10.0,15.0,1.0,13.0,15.0,10.0,13.0,3.0,12.0,2.0,1.0,0,0,0,0,0,1,79.8,1497.63,1406.0,0,0,1,0,Magomed-Shapi Suleimanov
,,,,,Dmitry Skopintsev,Dinamo Moscow,RUS, D/WB (L)                            , 2/3/1997 (23 years old)   ,23.0,176.0,67.0,63000.0,4300000.0,1700000.0,12.0,8.0,1.0,10.0,13.0,12.0,11.0,10.0,15.0,15.0,13.0,9.0,2.0,11.0,11.0,11.0,13.0,14.0,13.0,10.0,8.0,12.0,12.0,12.0,10.0,5.0,11.0,1.0,14.0,15.0,3.0,10.0,3.0,3.0,3.0,14.0,11.0,1.0,13.0,14.0,13.0,13.0,3.0,10.0,3.0,1.0,0,1,0,0,0,0,79.8,1497.63,1567.0,0,0,1,0,Dmitriy Skopintsev
,,,,,Roman Yemeljanov,Ural,RUS," D (C), DM, M (C)                    ", 8/5/1992 (28 years old)   ,28.0,189.0,85.0,58000.0,0.0,1700000.0,13.0,15.0,3.0,9.0,11.0,13.0,10.0,14.0,10.0,10.0,11.0,7.0,1.0,12.0,13.0,13.0,9.0,13.0,6.0,13.0,11.0,7.0,10.0,12.0,11.0,13.0,9.0,1.0,11.0,13.0,1.0,14.0,2.0,2.0,1.0,10.0,10.0,3.0,13.0,9.0,16.0,13.0,2.0,7.0,2.0,1.0,1,0,0,0,0,0,79.8,1497.63,1425.0,0,0,0,1,Roman Yemeljanov
,,,,,Maxim Belyaev,Arsenal Tula,RUS, D (C)                               , 30/9/1991 (28 years old)  ,28.0,188.0,83.0,72000.0,0.0,1600000.0,12.0,13.0,3.0,7.0,10.0,10.0,12.0,12.0,10.0,12.0,15.0,8.0,3.0,12.0,10.0,12.0,12.0,14.0,7.0,12.0,11.0,8.0,13.0,6.0,12.0,14.0,13.0,2.0,11.0,12.0,1.0,12.0,1.0,1.0,2.0,7.0,13.0,1.0,14.0,12.0,14.0,15.0,3.0,10.0,1.0,2.0,1,0,0,0,0,0,79.8,1497.63,1374.0,0,0,0,1,Maksim Belyaev
,,,,,Roman Yevgenjev,Dinamo Moscow,RUS, D (C)                               , 23/2/1999 (21 years old)  ,21.0,193.0,86.0,64000.0,0.0,1600000.0,15.0,15.0,3.0,12.0,7.0,13.0,5.0,15.0,9.0,11.0,12.0,7.0,3.0,14.0,7.0,12.0,9.0,14.0,6.0,15.0,12.0,5.0,14.0,16.0,10.0,16.0,7.0,3.0,11.0,13.0,2.0,14.0,3.0,3.0,2.0,8.0,13.0,3.0,12.0,7.0,13.0,14.0,3.0,7.0,1.0,1.0,1,0,0,0,0,0,79.8,1497.63,1567.0,0,0,0,1,Roman Yevgenjev
,,,,,Yegor Sorokin,Krasnodar,RUS, D (C)                               , 4/11/1995 (24 years old)  ,24.0,189.0,81.0,69500.0,3000000.0,1600000.0,9.0,14.0,3.0,8.0,10.0,10.0,10.0,12.0,8.0,14.0,12.0,9.0,2.0,11.0,7.0,11.0,7.0,15.0,7.0,11.0,11.0,8.0,13.0,12.0,12.0,16.0,10.0,3.0,10.0,13.0,1.0,13.0,3.0,1.0,2.0,8.0,13.0,2.0,14.0,12.0,14.0,14.0,4.0,8.0,2.0,2.0,1,0,0,0,0,0,79.8,1497.63,1406.0,0,0,1,0,Yegor Sorokin
,,,,,Dmitry Chistyakov,Zenit,RUS, D (C)                               , 13/1/1994 (26 years old)  ,26.0,185.0,79.0,67000.0,125000.0,1600000.0,13.0,14.0,2.0,7.0,7.0,7.0,7.0,14.0,8.0,13.0,12.0,5.0,1.0,13.0,8.0,10.0,7.0,12.0,7.0,14.0,11.0,7.0,12.0,15.0,11.0,15.0,11.0,2.0,12.0,12.0,1.0,11.0,2.0,1.0,2.0,7.0,13.0,2.0,13.0,13.0,13.0,13.0,1.0,8.0,2.0,2.0,1,0,0,0,0,0,79.8,1497.63,1685.0,0,0,0,1,Dmitriy Chistyakov
,,,,,Evgeny Chernov,Krasnodar,RUS, D/WB (L)                            , 23/10/1992 (27 years old) ,27.0,180.0,67.0,69500.0,3000000.0,1500000.0,10.0,10.0,2.0,8.0,6.0,4.0,11.0,13.0,12.0,14.0,9.0,12.0,3.0,13.0,6.0,11.0,8.0,13.0,14.0,12.0,9.0,13.0,13.0,14.0,13.0,10.0,10.0,2.0,13.0,14.0,3.0,10.0,3.0,1.0,1.0,11.0,13.0,1.0,14.0,13.0,11.0,13.0,3.0,7.0,1.0,2.0,0,1,0,0,0,0,79.8,1497.63,1406.0,0,0,1,0,Evgeniy Chernov
,,,,,Alexandr Belenov,Ufa,RUS, GK                                  , 13/9/1986 (33 years old)  ,33.0,197.0,94.0,73000.0,0.0,1400000.0,9.0,17.0,13.0,10.0,3.0,2.0,3.0,2.0,7.0,12.0,13.0,8.0,15.0,14.0,5.0,8.0,1.0,13.0,2.0,1.0,14.0,5.0,12.0,10.0,13.0,1.0,8.0,11.0,7.0,10.0,15.0,17.0,12.0,12.0,13.0,3.0,12.0,10.0,11.0,11.0,12.0,13.0,14.0,3.0,14.0,9.0,0,0,1,0,0,0,79.8,1497.63,1389.0,0,0,0,1,Aleksandr Belenov
,,,,,Alexandr Selikhov,Spartak Moscow,RUS, GK                                  , 7/4/1994 (26 years old)   ,26.0,190.0,80.0,83000.0,0.0,1400000.0,11.0,15.0,8.0,11.0,2.0,3.0,1.0,3.0,6.0,12.0,12.0,6.0,15.0,11.0,1.0,11.0,3.0,12.0,1.0,1.0,10.0,3.0,13.0,14.0,11.0,10.0,11.0,13.0,7.0,9.0,13.0,12.0,13.0,15.0,9.0,2.0,13.0,13.0,11.0,11.0,11.0,12.0,12.0,2.0,14.0,9.0,0,0,1,0,0,0,79.8,1497.63,1530.0,0,0,0,1,Aleksandr Selikhov
Pavel Mamaev,,https://img.a.transfermarkt.technology/portrait/small/38802-1606809580.png?lm=1,35,-,Pavel Mamaev,Rostov,RUS," M (C), AM (RLC)                     ", 17/9/1988 (31 years old)  ,31.0,178.0,70.0,43500.0,0.0,1300000.0,15.0,9.0,3.0,15.0,6.0,13.0,14.0,8.0,14.0,10.0,12.0,13.0,1.0,12.0,10.0,13.0,14.0,14.0,12.0,12.0,6.0,13.0,12.0,18.0,14.0,8.0,15.0,2.0,12.0,12.0,2.0,8.0,3.0,1.0,2.0,12.0,10.0,1.0,11.0,13.0,11.0,13.0,2.0,12.0,1.0,3.0,0,0,0,1,0,0,79.8,1497.63,1440.0,0,0,0,1,Pavel Mamaev
,,,,,Yury Dyupin,Rubin,RUS, GK                                  , 17/3/1988 (32 years old)  ,32.0,187.0,84.0,10750.0,0.0,1200000.0,11.0,12.0,14.0,8.0,3.0,3.0,2.0,1.0,7.0,9.0,13.0,5.0,15.0,12.0,3.0,16.0,3.0,12.0,3.0,2.0,11.0,1.0,13.0,11.0,12.0,1.0,8.0,11.0,10.0,11.0,11.0,11.0,11.0,10.0,19.0,1.0,13.0,12.0,11.0,13.0,8.0,15.0,13.0,8.0,11.0,18.0,0,0,1,0,0,0,79.8,1497.63,1471.0,0,0,0,1,Yuriy Dyupin
,,,,,Victor Vasin,CSKA Moscow,RUS, D (C)                               , 6/10/1988 (31 years old)  ,31.0,192.0,83.0,49000.0,675000.0,1100000.0,12.0,15.0,1.0,6.0,10.0,13.0,8.0,15.0,8.0,13.0,11.0,12.0,3.0,13.0,8.0,12.0,3.0,13.0,8.0,13.0,7.0,8.0,8.0,13.0,13.0,15.0,9.0,1.0,10.0,12.0,2.0,13.0,4.0,3.0,1.0,10.0,10.0,2.0,13.0,10.0,14.0,15.0,3.0,9.0,1.0,1.0,1,0,0,0,0,0,79.8,1497.63,1572.0,0,0,0,1,Viktor Vasin
,,,,,Soslan Djanaev,Sochi,RUS, GK                                  , 13/3/1987 (33 years old)  ,33.0,188.0,80.0,69000.0,0.0,1000000.0,11.0,14.0,13.0,8.0,2.0,1.0,3.0,1.0,7.0,13.0,12.0,8.0,14.0,11.0,3.0,9.0,8.0,13.0,2.0,2.0,5.0,4.0,13.0,14.0,12.0,3.0,8.0,13.0,11.0,11.0,12.0,15.0,13.0,10.0,14.0,3.0,12.0,14.0,13.0,14.0,14.0,12.0,12.0,2.0,13.0,9.0,0,0,1,0,0,0,79.8,1497.63,1530.0,0,0,0,1,Soslan Djanaev
,,,,,Yegor Baburin,Krasnodar,RUS, GK                                  , 9/8/1993 (26 years old)   ,26.0,191.0,79.0,37500.0,500000.0,925000.0,7.0,15.0,9.0,8.0,1.0,3.0,3.0,2.0,8.0,12.0,12.0,4.0,14.0,12.0,3.0,9.0,9.0,12.0,3.0,1.0,13.0,2.0,13.0,14.0,12.0,5.0,11.0,13.0,8.0,11.0,13.0,11.0,11.0,15.0,5.0,3.0,13.0,13.0,12.0,10.0,12.0,12.0,13.0,1.0,13.0,10.0,0,0,1,0,0,0,79.8,1497.63,1406.0,0,0,0,1,Yegor Baburin
,,,,,Alexandr Zuev,Rubin,RUS, M/AM (L)                            , 26/6/1996 (24 years old)  ,24.0,177.0,68.0,47500.0,1500000.0,900000.0,8.0,8.0,1.0,12.0,3.0,10.0,13.0,10.0,13.0,10.0,10.0,11.0,3.0,8.0,9.0,12.0,10.0,9.0,10.0,5.0,5.0,11.0,11.0,15.0,10.0,6.0,13.0,4.0,14.0,14.0,3.0,7.0,2.0,1.0,3.0,12.0,11.0,3.0,11.0,13.0,10.0,7.0,1.0,10.0,3.0,3.0,0,0,0,0,0,1,79.8,1497.63,1471.0,0,0,0,1,Aleksandr Zuev
,,,,,Ayaz Guliev,Spartak Moscow,RUS," DM, M (C)                           ", 27/11/1996 (23 years old) ,23.0,169.0,69.0,99500.0,700000.0,850000.0,16.0,5.0,3.0,10.0,4.0,13.0,11.0,12.0,13.0,12.0,10.0,10.0,2.0,12.0,9.0,13.0,11.0,10.0,10.0,10.0,10.0,11.0,13.0,13.0,11.0,12.0,13.0,3.0,13.0,13.0,3.0,8.0,3.0,1.0,2.0,13.0,14.0,2.0,13.0,14.0,14.0,14.0,2.0,10.0,1.0,2.0,0,0,0,1,0,0,79.8,1497.63,1530.0,0,0,0,1,Ayaz Guliyev
,,,,,German Onugha,Vejle,RUS, ST (C)                              , 7/6/1996 (24 years old)   ,24.0,190.0,85.0,53000.0,0.0,850000.0,13.0,15.0,2.0,6.0,10.0,10.0,11.0,6.0,9.0,11.0,10.0,10.0,2.0,4.0,7.0,9.0,6.0,7.0,6.0,8.0,6.0,6.0,11.0,12.0,11.0,12.0,11.0,3.0,12.0,13.0,3.0,14.0,2.0,2.0,2.0,11.0,14.0,3.0,15.0,12.0,13.0,16.0,1.0,12.0,3.0,2.0,0,0,0,0,1,0,40.8,1497.63,1156.0,0,1,0,0,German Onugha
Ivan Novoseltsev,,https://img.a.transfermarkt.technology/portrait/small/231873-1634134431.png?lm=1,32,-,Ivan Novoseltsev,Sochi,RUS, D (C)                               , 25/8/1991 (28 years old)  ,28.0,190.0,80.0,46000.0,700000.0,800000.0,7.0,13.0,4.0,8.0,11.0,11.0,9.0,12.0,8.0,13.0,10.0,6.0,1.0,10.0,12.0,12.0,7.0,11.0,5.0,13.0,4.0,7.0,12.0,7.0,13.0,12.0,9.0,3.0,12.0,14.0,2.0,12.0,2.0,1.0,2.0,5.0,12.0,1.0,14.0,10.0,13.0,14.0,1.0,9.0,2.0,1.0,1,0,0,0,0,0,79.8,1497.63,1530.0,0,0,0,1,Ivan Novoseltsev
,,,,,Alexey Nikitin,Ufa,RUS, D (C)                               , 27/1/1992 (28 years old)  ,28.0,187.0,87.0,45000.0,0.0,800000.0,12.0,13.0,2.0,8.0,8.0,6.0,10.0,10.0,9.0,13.0,13.0,6.0,1.0,13.0,6.0,11.0,10.0,11.0,7.0,11.0,10.0,7.0,13.0,9.0,13.0,12.0,11.0,3.0,10.0,11.0,1.0,15.0,2.0,3.0,2.0,6.0,13.0,2.0,13.0,11.0,15.0,15.0,3.0,6.0,3.0,3.0,1,0,0,0,0,0,79.8,1497.63,1389.0,0,0,0,1,Aleksey Nikitin
,,,,,Alexandr Putsko,Akhmat,RUS, D (C)                               , 24/2/1993 (27 years old)  ,27.0,190.0,89.0,47000.0,0.0,800000.0,12.0,15.0,4.0,7.0,9.0,11.0,7.0,10.0,10.0,15.0,11.0,9.0,3.0,13.0,12.0,11.0,6.0,12.0,7.0,13.0,12.0,7.0,16.0,12.0,10.0,15.0,11.0,2.0,8.0,11.0,3.0,15.0,3.0,3.0,3.0,8.0,10.0,1.0,13.0,11.0,15.0,16.0,3.0,6.0,1.0,3.0,1,0,0,0,0,0,79.8,1497.63,1463.0,0,0,0,1,Aleksandr Putsko
,,,,,Vitaly Lystsov,Lokomotiv Moscow,RUS, D (C)                               , 11/7/1995 (25 years old)  ,25.0,191.0,83.0,55500.0,950000.0,800000.0,17.0,15.0,1.0,8.0,10.0,12.0,10.0,14.0,11.0,14.0,10.0,12.0,2.0,13.0,3.0,10.0,12.0,13.0,8.0,14.0,8.0,7.0,12.0,12.0,9.0,13.0,12.0,1.0,11.0,13.0,1.0,14.0,3.0,2.0,1.0,9.0,12.0,1.0,13.0,8.0,13.0,14.0,3.0,8.0,3.0,1.0,1,0,0,0,0,0,79.8,1497.63,1544.0,0,0,0,1,Vitaliy Lystsov
