name,club,nat,position,dob,age,height,weight,wage,last trans. fee,value,agg,jum,pun,vis,l th,lon,otb,tck,tec,tea,cmp,fre,ref,pos,pen,pas,fla,ant,cro,mar,ldr,cor,cnt,det,dec,hea,fir,com,acc,pac,aer,str,thr,han,ecc,dri,bal,kic,sta,agi,wor,bra,cmd,fin,1v1,tro,centerback,fullback,goalkeeper,midfielder,striker,winger,division_rating,nat_rating,club_rating,either_left,either_right,left,right,current_age,kor_names
Kim Min-sung,Varnsdorf,KOR, D/WB/M (R)                          ,2000-05-11,20.0,185.0,74.0,1000.0,0.0,31000.0,8.0,9.0,1.0,7.0,6.0,3.0,9.0,9.0,8.0,8.0,8.0,7.0,1.0,9.0,4.0,9.0,9.0,8.0,8.0,8.0,11.0,5.0,8.0,16.0,9.0,8.0,11.0,1.0,14.0,14.0,3.0,5.0,2.0,1.0,4.0,9.0,7.0,3.0,9.0,11.0,9.0,8.0,2.0,7.0,1.0,2.0,0,1,0,0,0,0,63.2,1540.35,1156.0,0,0,0,1,23,김민-김
Chansoo Kim,Liptovsky Mikulas,KOR, M/AM (C)                            ,2001-02-17,19.0,167.0,59.0,475.0,0.0,550.0,13.0,2.0,2.0,13.0,2.0,7.0,7.0,7.0,13.0,6.0,8.0,5.0,1.0,5.0,2.0,11.0,13.0,5.0,1.0,6.0,11.0,3.0,6.0,8.0,7.0,5.0,13.0,1.0,13.0,13.0,2.0,2.0,3.0,1.0,1.0,6.0,3.0,3.0,6.0,12.0,5.0,7.0,4.0,7.0,3.0,2.0,0,0,0,1,0,0,57.1,1540.35,1156.0,0,0,0,1,22,Chansoo Kim
Chanyoung Ha,Liptovsky Mikulas,KOR, AM (RL)                             ,2001-02-15,19.0,181.0,70.0,475.0,0.0,525.0,5.0,6.0,3.0,8.0,1.0,7.0,10.0,4.0,11.0,5.0,6.0,5.0,3.0,4.0,1.0,8.0,11.0,5.0,10.0,5.0,4.0,8.0,4.0,14.0,6.0,1.0,8.0,2.0,14.0,12.0,3.0,3.0,3.0,1.0,2.0,14.0,7.0,3.0,5.0,11.0,7.0,7.0,3.0,4.0,2.0,3.0,0,0,0,0,0,1,57.1,1540.35,1156.0,0,0,1,0,22,Chanyoung ha
Jo Min-se,Vukovar 1991,KOR," AM (C), ST (C)                      ",1996-04-25,24.0,184.0,73.0,300.0,0.0,400.0,10.0,7.0,2.0,10.0,4.0,7.0,8.0,6.0,10.0,7.0,10.0,6.0,2.0,7.0,2.0,10.0,14.0,5.0,6.0,4.0,2.0,6.0,7.0,14.0,12.0,8.0,10.0,4.0,13.0,11.0,2.0,4.0,1.0,1.0,3.0,11.0,7.0,2.0,13.0,11.0,8.0,5.0,3.0,10.0,2.0,1.0,0,0,0,0,1,0,40.8,1540.35,1156.0,0,0,0,1,27,조민
Seok Sang-Hun,Other,KOR," DM, M (C)                           ",2000-03-03,20.0,172.0,68.0,275.0,0.0,375.0,15.0,4.0,3.0,4.0,3.0,6.0,8.0,15.0,4.0,14.0,7.0,7.0,2.0,5.0,1.0,9.0,5.0,9.0,4.0,9.0,6.0,6.0,13.0,1.0,9.0,7.0,7.0,3.0,10.0,15.0,3.0,8.0,2.0,3.0,4.0,5.0,8.0,2.0,7.0,15.0,10.0,10.0,3.0,3.0,3.0,3.0,0,0,0,1,0,0,40.8,1540.35,1156.0,0,0,0,1,23,Seok Sang-Hun
Son San-Sung,Other,KOR, D (C)                               ,2001-09-24,18.0,189.0,80.0,275.0,0.0,350.0,11.0,17.0,2.0,5.0,7.0,9.0,7.0,13.0,7.0,9.0,13.0,7.0,2.0,10.0,5.0,8.0,5.0,9.0,6.0,7.0,8.0,5.0,8.0,8.0,8.0,11.0,7.0,3.0,6.0,10.0,2.0,7.0,2.0,2.0,1.0,2.0,10.0,3.0,9.0,9.0,10.0,7.0,3.0,5.0,1.0,3.0,1,0,0,0,0,0,40.8,1540.35,1156.0,0,0,0,1,22,아들 샌 중
Kim Jeong-Hyun,Lokomotiva,KOR, M/AM (C)                            ,2000-06-09,20.0,182.0,75.0,475.0,0.0,300.0,8.0,8.0,2.0,8.0,4.0,7.0,7.0,8.0,14.0,8.0,6.0,7.0,3.0,8.0,1.0,12.0,15.0,11.0,7.0,8.0,6.0,7.0,6.0,6.0,14.0,7.0,14.0,1.0,11.0,13.0,1.0,6.0,2.0,2.0,1.0,9.0,5.0,1.0,6.0,12.0,11.0,8.0,1.0,6.0,1.0,4.0,0,0,0,1,0,0,40.8,1540.35,1392.0,0,0,0,1,23,김정현
Kim Min Su,FC Kosice,KOR, WB/AM (R)                           ,2001-02-06,19.0,177.0,68.0,475.0,0.0,220.0,11.0,6.0,1.0,4.0,2.0,3.0,12.0,8.0,8.0,8.0,8.0,7.0,2.0,7.0,6.0,9.0,10.0,6.0,9.0,5.0,5.0,6.0,4.0,15.0,14.0,8.0,11.0,1.0,15.0,11.0,3.0,5.0,3.0,1.0,1.0,7.0,7.0,1.0,7.0,12.0,9.0,5.0,3.0,6.0,2.0,3.0,0,1,0,0,0,0,57.1,1540.35,1156.0,0,0,0,1,22,Kim Min Su
Woo-Yang Seung,Forest Green,KOR," DM, M (C)                           ",2004-07-19,16.0,165.0,55.0,675.0,0.0,180.0,7.0,7.0,4.0,7.0,1.0,5.0,5.0,7.0,8.0,8.0,5.0,5.0,3.0,8.0,4.0,6.0,5.0,8.0,5.0,7.0,9.0,5.0,7.0,4.0,9.0,5.0,11.0,3.0,10.0,9.0,1.0,1.0,3.0,2.0,2.0,5.0,6.0,2.0,7.0,10.0,12.0,3.0,3.0,4.0,2.0,2.0,0,0,0,1,0,0,58.8,1540.35,1156.0,0,0,0,1,19,우 중임
Lee Seok-Jae,Portsmouth,KOR, ST (C)                              ,2003-07-08,17.0,176.0,65.0,675.0,0.0,160.0,12.0,7.0,2.0,1.0,1.0,3.0,2.0,1.0,7.0,3.0,7.0,2.0,2.0,2.0,1.0,4.0,8.0,5.0,1.0,2.0,3.0,3.0,3.0,17.0,5.0,11.0,7.0,3.0,12.0,12.0,3.0,5.0,2.0,3.0,1.0,9.0,4.0,3.0,10.0,12.0,5.0,6.0,1.0,12.0,2.0,3.0,0,0,0,0,1,0,66.5,1540.35,1156.0,0,0,0,1,20,Lee Seok-Jae
Cho Jeong-Hui,Opatija,KOR, D/WB/M (R)                          ,2000-04-18,20.0,175.0,68.0,250.0,0.0,110.0,10.0,10.0,2.0,7.0,10.0,4.0,9.0,12.0,9.0,14.0,7.0,6.0,2.0,6.0,6.0,8.0,10.0,7.0,9.0,8.0,5.0,7.0,9.0,10.0,8.0,3.0,7.0,4.0,13.0,13.0,2.0,5.0,3.0,3.0,2.0,9.0,6.0,3.0,12.0,14.0,14.0,7.0,2.0,4.0,1.0,2.0,0,1,0,0,0,0,40.8,1540.35,1156.0,0,0,0,1,23,최 hui
Choi Min-Kyu,Hr. Dragovoljac,KOR, M (C)                               ,2000-04-06,20.0,177.0,68.0,250.0,0.0,110.0,11.0,6.0,3.0,13.0,1.0,7.0,7.0,5.0,10.0,7.0,8.0,5.0,1.0,5.0,4.0,12.0,10.0,7.0,4.0,6.0,13.0,5.0,5.0,15.0,13.0,4.0,10.0,2.0,8.0,10.0,1.0,4.0,2.0,4.0,2.0,1.0,6.0,2.0,6.0,11.0,11.0,4.0,2.0,6.0,1.0,1.0,0,0,0,1,0,0,40.8,1540.35,1156.0,0,0,0,1,23,최민 키우
Tae-woo Kim,Other,KOR, M/AM (L)                            ,2001-02-28,19.0,176.0,72.0,9.0,0.0,110.0,13.0,4.0,3.0,2.0,3.0,1.0,6.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,7.0,5.0,2.0,7.0,1.0,1.0,4.0,4.0,15.0,4.0,1.0,8.0,3.0,12.0,10.0,2.0,3.0,4.0,2.0,1.0,7.0,5.0,1.0,3.0,13.0,5.0,5.0,1.0,3.0,3.0,3.0,0,0,0,0,0,1,40.8,1540.35,1156.0,0,0,1,0,22,태우 김
Jung Dae-Hyeon,Dubrava,KOR, ST (C)                              ,1997-03-23,23.0,177.0,73.0,240.0,0.0,110.0,11.0,4.0,3.0,11.0,2.0,4.0,10.0,4.0,12.0,7.0,11.0,7.0,1.0,10.0,4.0,11.0,11.0,10.0,3.0,6.0,13.0,7.0,10.0,3.0,10.0,14.0,10.0,2.0,12.0,10.0,1.0,7.0,2.0,2.0,1.0,10.0,8.0,3.0,11.0,10.0,8.0,6.0,1.0,14.0,4.0,4.0,0,0,0,0,1,0,40.8,1540.35,1156.0,0,0,0,1,26,정 다이온
Seo Woo-Min,Junak,KOR, ST (C)                              ,2000-03-20,20.0,180.0,69.0,475.0,0.0,110.0,11.0,9.0,2.0,5.0,3.0,1.0,13.0,1.0,11.0,5.0,7.0,5.0,1.0,6.0,3.0,6.0,11.0,6.0,2.0,2.0,6.0,5.0,2.0,10.0,7.0,13.0,12.0,1.0,13.0,13.0,2.0,3.0,1.0,2.0,2.0,13.0,2.0,2.0,7.0,12.0,6.0,7.0,2.0,9.0,2.0,3.0,0,0,0,0,1,0,40.8,1540.35,1156.0,0,0,0,1,23,서우 진
Yun Cheol-Hyun,Sesvete,KOR, ST (C)                              ,1997-01-14,23.0,184.0,77.0,250.0,0.0,110.0,12.0,10.0,1.0,6.0,5.0,8.0,9.0,3.0,8.0,7.0,11.0,7.0,2.0,7.0,1.0,6.0,13.0,10.0,6.0,7.0,7.0,4.0,8.0,11.0,13.0,14.0,12.0,2.0,14.0,14.0,2.0,9.0,1.0,3.0,1.0,13.0,5.0,3.0,6.0,13.0,8.0,5.0,4.0,8.0,1.0,1.0,0,0,0,0,1,0,40.8,1540.35,1156.0,0,0,0,1,26,Yun Cheol-Hyun
Hwang Ui-Jo,Bordeaux,KOR," AM (RL), ST (C)                      ",1992-08-28,27.0,183.0,70.0,120000.0,2000000.0,5500000.0,11.0,9.0,3.0,14.0,3.0,16.0,13.0,5.0,14.0,15.0,14.0,5.0,1.0,10.0,10.0,12.0,13.0,13.0,10.0,3.0,10.0,4.0,14.0,11.0,14.0,12.0,14.0,3.0,13.0,13.0,2.0,12.0,1.0,1.0,1.0,14.0,12.0,2.0,14.0,14.0,14.0,14.0,1.0,13.0,4.0,2.0,0,0,0,0,0,1,85.1,1540.35,1420.0,0,0,0,1,31,황 UI- 조
Lee Kang-In,Valencia,KOR, M/AM (RLC)                           ,2001-02-19,19.0,173.0,68.0,60000.0,0.0,5500000.0,13.0,8.0,2.0,14.0,7.0,14.0,13.0,6.0,15.0,8.0,11.0,12.0,2.0,8.0,13.0,15.0,17.0,11.0,12.0,6.0,9.0,12.0,10.0,16.0,11.0,7.0,14.0,2.0,13.0,12.0,2.0,10.0,3.0,1.0,4.0,14.0,13.0,1.0,11.0,14.0,11.0,11.0,1.0,13.0,3.0,2.0,0,0,0,1,0,0,90.8,1540.35,1611.0,0,0,1,0,22,Lee Kang-In
Kwon Chang-Hoon,SC Freiburg,KOR," M (C), AM (RC)                       ",1994-06-30,26.0,173.0,72.0,58500.0,3000000.0,4900000.0,15.0,7.0,3.0,14.0,2.0,12.0,14.0,8.0,14.0,12.0,12.0,11.0,2.0,13.0,8.0,15.0,14.0,11.0,13.0,5.0,12.0,11.0,11.0,11.0,13.0,6.0,14.0,3.0,12.0,12.0,2.0,12.0,3.0,2.0,2.0,16.0,12.0,1.0,14.0,14.0,15.0,10.0,2.0,12.0,3.0,1.0,0,0,0,1,0,0,90.3,1540.35,1688.0,0,0,1,0,29,Kwon Chang-hoon
Hwang Hee-Chan,RB Leipzig,KOR," M/AM (R), ST (C)                     ",1996-01-26,24.0,177.0,77.0,125000.0,15000000.0,4200000.0,16.0,11.0,2.0,13.0,6.0,10.0,16.0,8.0,12.0,15.0,11.0,8.0,4.0,9.0,12.0,11.0,13.0,12.0,9.0,6.0,8.0,8.0,12.0,15.0,11.0,11.0,11.0,3.0,17.0,14.0,3.0,12.0,2.0,2.0,1.0,13.0,14.0,2.0,14.0,14.0,16.0,14.0,1.0,13.0,3.0,3.0,0,0,0,0,0,1,90.3,1540.35,1793.0,0,0,0,1,27,황 chan
Ji Dong-Won,Eintracht Braunschweig,KOR," M (L), AM (LC), ST (C)               ",1991-05-28,29.0,188.0,82.0,83500.0,0.0,2700000.0,16.0,15.0,2.0,13.0,7.0,13.0,13.0,6.0,14.0,14.0,10.0,10.0,1.0,6.0,10.0,12.0,14.0,11.0,10.0,6.0,6.0,8.0,10.0,7.0,12.0,12.0,15.0,2.0,12.0,14.0,2.0,10.0,3.0,1.0,2.0,13.0,9.0,4.0,13.0,13.0,15.0,7.0,3.0,11.0,1.0,3.0,0,0,0,0,0,1,77.1,1540.35,1156.0,0,0,0,1,32,Ji Dong-won
Lee Jae-Sung,Holstein Kiel,KOR, M/AM (LC)                            ,1992-08-10,27.0,180.0,70.0,37500.0,875000.0,2000000.0,16.0,11.0,3.0,14.0,6.0,10.0,14.0,12.0,15.0,17.0,15.0,10.0,3.0,11.0,10.0,14.0,13.0,13.0,11.0,8.0,7.0,10.0,12.0,10.0,15.0,12.0,15.0,2.0,14.0,12.0,4.0,9.0,3.0,3.0,2.0,13.0,11.0,2.0,14.0,16.0,16.0,11.0,1.0,11.0,2.0,2.0,0,0,0,1,0,0,77.1,1540.35,1156.0,0,0,1,0,31,이재-시성
Jeong Woo-yeong,SC Freiburg,KOR, M/AM (RL)                            ,1999-09-20,20.0,179.0,69.0,37000.0,0.0,1300000.0,16.0,9.0,1.0,13.0,5.0,13.0,15.0,8.0,14.0,13.0,9.0,10.0,1.0,6.0,10.0,12.0,15.0,12.0,13.0,6.0,5.0,10.0,8.0,14.0,9.0,8.0,12.0,1.0,14.0,12.0,4.0,7.0,2.0,3.0,2.0,14.0,7.0,2.0,11.0,15.0,15.0,10.0,1.0,12.0,2.0,3.0,0,0,0,0,0,1,90.3,1540.35,1688.0,0,0,0,1,24,정우
Yun Il-Lok,Montpellier,KOR," M (L), AM (LC)                       ",1992-03-07,28.0,178.0,65.0,17250.0,0.0,1100000.0,13.0,12.0,2.0,10.0,3.0,11.0,13.0,7.0,13.0,14.0,12.0,8.0,2.0,8.0,7.0,13.0,10.0,12.0,12.0,7.0,7.0,9.0,12.0,14.0,11.0,8.0,12.0,2.0,13.0,13.0,3.0,11.0,1.0,3.0,3.0,13.0,10.0,3.0,13.0,13.0,14.0,14.0,1.0,11.0,3.0,2.0,0,0,0,0,0,1,85.1,1540.35,1473.0,0,0,0,1,31,Yun Il-Lok
Lee Seung-Woo,Portimonense,KOR," AM (LC), ST (C)                      ",1998-01-06,22.0,173.0,63.0,28000.0,1200000.0,775000.0,12.0,10.0,4.0,12.0,7.0,10.0,13.0,11.0,12.0,12.0,12.0,10.0,1.0,10.0,10.0,13.0,10.0,13.0,12.0,8.0,9.0,10.0,10.0,12.0,10.0,9.0,11.0,4.0,12.0,12.0,2.0,11.0,2.0,1.0,3.0,12.0,10.0,2.0,15.0,12.0,10.0,10.0,1.0,10.0,3.0,2.0,0,0,0,0,1,0,40.8,1540.35,1402.0,0,0,0,1,25,이승우
Suk Hyun-Jun,Troyes,KOR," AM (C), ST (C)                       ",1991-06-29,29.0,190.0,82.0,30000.0,0.0,575000.0,12.0,15.0,1.0,8.0,6.0,12.0,12.0,6.0,13.0,14.0,10.0,12.0,1.0,8.0,11.0,12.0,12.0,12.0,10.0,5.0,8.0,10.0,13.0,16.0,10.0,15.0,12.0,2.0,11.0,13.0,3.0,15.0,2.0,1.0,3.0,10.0,14.0,3.0,14.0,11.0,16.0,15.0,3.0,11.0,3.0,1.0,0,0,0,0,1,0,71.7,1540.35,1462.0,0,0,0,1,32,Suk hun-jun
Paik Seung-Ho,Darmstadt 98,KOR, M (C)                                ,1997-03-17,23.0,182.0,73.0,10500.0,0.0,500000.0,9.0,9.0,1.0,12.0,8.0,11.0,11.0,12.0,14.0,12.0,11.0,13.0,3.0,12.0,11.0,14.0,9.0,12.0,10.0,11.0,8.0,8.0,14.0,14.0,13.0,9.0,13.0,3.0,11.0,11.0,4.0,11.0,3.0,2.0,1.0,13.0,15.0,2.0,13.0,12.0,14.0,13.0,1.0,8.0,3.0,1.0,0,0,0,1,0,0,77.1,1540.35,1467.0,0,0,0,1,26,Paik Seung-Ho
Oh In-Pyo,LASK,KOR, M/AM (L)                             ,1997-03-18,23.0,178.0,72.0,6250.0,0.0,425000.0,10.0,11.0,1.0,10.0,5.0,6.0,13.0,8.0,10.0,12.0,9.0,6.0,1.0,9.0,2.0,8.0,8.0,8.0,8.0,7.0,5.0,8.0,10.0,16.0,9.0,8.0,10.0,3.0,15.0,13.0,2.0,9.0,3.0,4.0,1.0,11.0,9.0,2.0,12.0,13.0,13.0,9.0,4.0,6.0,3.0,1.0,0,0,0,0,0,1,75.3,1540.35,1476.0,0,0,1,0,26,"오, in-pyo"
Park Yi-Young,Türkgücü,KOR," D (R), DM, M (C)                     ",1994-06-29,26.0,186.0,72.0,18750.0,0.0,220000.0,11.0,12.0,3.0,9.0,10.0,11.0,9.0,13.0,12.0,16.0,13.0,5.0,3.0,11.0,8.0,13.0,8.0,14.0,10.0,11.0,7.0,5.0,12.0,13.0,13.0,10.0,12.0,3.0,12.0,10.0,2.0,8.0,1.0,1.0,3.0,9.0,9.0,3.0,13.0,14.0,12.0,9.0,3.0,7.0,1.0,1.0,0,1,0,0,0,0,70.0,1540.35,1156.0,0,0,0,1,29,파크 이영
Lee Jae-Ik,Antwerp,KOR, D (C)                                ,1999-05-21,21.0,185.0,78.0,17250.0,0.0,87000.0,8.0,9.0,3.0,12.0,8.0,1.0,7.0,10.0,8.0,8.0,9.0,1.0,1.0,12.0,3.0,12.0,5.0,15.0,1.0,11.0,12.0,4.0,8.0,16.0,9.0,12.0,9.0,2.0,10.0,12.0,2.0,10.0,3.0,3.0,2.0,1.0,9.0,3.0,6.0,12.0,9.0,10.0,2.0,4.0,1.0,1.0,1,0,0,0,0,0,76.8,1540.35,1503.0,0,0,1,0,24,이재이
Danny Choi,Real,KOR, AM (RLC)                             ,1994-12-06,25.0,180.0,69.0,3600.0,0.0,63000.0,7.0,8.0,1.0,13.0,4.0,14.0,13.0,7.0,14.0,9.0,11.0,12.0,3.0,4.0,15.0,12.0,14.0,12.0,12.0,5.0,5.0,12.0,9.0,11.0,10.0,6.0,13.0,3.0,12.0,12.0,3.0,7.0,3.0,2.0,2.0,13.0,7.0,3.0,11.0,14.0,9.0,8.0,3.0,10.0,1.0,2.0,0,0,0,1,0,0,40.8,1540.35,1156.0,0,0,1,0,28,대니 초
Cheon Soeng-Hoon,FC Augsburg II,KOR, ST (C)                               ,2000-09-21,19.0,190.0,80.0,1600.0,150000.0,59000.0,12.0,15.0,2.0,8.0,3.0,3.0,11.0,1.0,12.0,7.0,13.0,7.0,2.0,5.0,10.0,8.0,12.0,9.0,6.0,6.0,6.0,7.0,7.0,15.0,12.0,10.0,9.0,3.0,14.0,13.0,2.0,7.0,2.0,3.0,1.0,13.0,8.0,2.0,5.0,9.0,8.0,8.0,2.0,14.0,2.0,2.0,0,0,0,0,1,0,62.1,1540.35,1156.0,0,0,0,1,23,Cheon Soeng-Hoon
Yang Jae-Woo,Ejea,KOR, AM (RLC)                             ,2001-03-23,19.0,175.0,70.0,3400.0,0.0,49500.0,11.0,5.0,1.0,11.0,2.0,6.0,12.0,4.0,8.0,7.0,10.0,3.0,1.0,7.0,3.0,10.0,12.0,5.0,5.0,5.0,12.0,3.0,6.0,6.0,12.0,4.0,13.0,1.0,13.0,13.0,2.0,4.0,2.0,3.0,1.0,13.0,7.0,3.0,13.0,12.0,12.0,8.0,3.0,4.0,3.0,1.0,0,0,0,1,0,0,77.3,1540.35,1156.0,0,0,0,1,22,양 재우
Park Kyu-Hyun,SV Werder II,KOR," D (LC), DM                           ",2001-04-14,19.0,181.0,74.0,2500.0,0.0,41500.0,12.0,10.0,1.0,6.0,7.0,6.0,7.0,13.0,8.0,7.0,8.0,4.0,3.0,12.0,5.0,9.0,5.0,11.0,6.0,13.0,5.0,4.0,8.0,9.0,14.0,11.0,9.0,1.0,13.0,8.0,3.0,6.0,3.0,2.0,2.0,1.0,8.0,1.0,5.0,9.0,9.0,9.0,1.0,7.0,3.0,1.0,1,0,0,0,0,0,62.1,1540.35,1156.0,0,0,1,0,22,파크 쿤
Gwangin Lee,Mafra,KOR, AM (RL)                              ,2001-07-01,19.0,173.0,69.0,1100.0,0.0,40500.0,10.0,4.0,2.0,8.0,3.0,6.0,10.0,3.0,11.0,12.0,10.0,5.0,2.0,5.0,7.0,9.0,12.0,8.0,10.0,2.0,6.0,8.0,8.0,14.0,9.0,5.0,10.0,1.0,14.0,14.0,2.0,5.0,1.0,4.0,3.0,11.0,8.0,3.0,8.0,13.0,13.0,11.0,3.0,10.0,3.0,2.0,0,0,0,0,0,1,40.8,1540.35,1156.0,0,0,0,1,22,방강 리
Choi Kyoung-Rok,KSC,KOR, M/AM (RLC)                           ,1995-03-15,25.0,176.0,68.0,21000.0,97000.0,40000.0,11.0,8.0,2.0,12.0,9.0,12.0,12.0,7.0,13.0,12.0,10.0,12.0,1.0,8.0,10.0,12.0,12.0,10.0,10.0,8.0,5.0,8.0,11.0,12.0,11.0,7.0,12.0,3.0,13.0,12.0,1.0,10.0,3.0,2.0,1.0,13.0,8.0,1.0,13.0,13.0,11.0,9.0,2.0,10.0,1.0,2.0,0,0,0,1,0,0,77.1,1540.35,1156.0,0,0,1,0,28,최 칸-로크
